groupName;centre;ciudad;CCAA;latlong;link;OSM;f_Major_Disease;f_Preclinical_Models;f_Funtional_Genomic_Tools;f_OMICS_Tech;f_Bioinformatics_&_Computational
Epidemiologia Genética y Molecular;Centro Nacional de Investigaciones Oncológicas (CNIO);Madrid;Madrid;40.47613,-3.69403;https://alipanc.org/en/grupo/genetic-and-molecular-epidemiology/;W465936079;Cancer Genomics, Epigenetics, Molecular and Genetic Epidemiology, Prevention, Diagnosis, Early Detection, Biomarkers (Liquid, Tissue);;None;None;DNA sequencing, RNA-seq, Methylation, Microbiome, Data integration
Grupo de investigación en cáncer de páncreas INCLIVA;Hospital Clínico Universitario de Valencia.Instituto de Investigación Sanitaria INCLIVA. Universidad de Valencia;Valencia;Comunitat Valenciana;39.478755,-0.3588256;https://alipanc.org/en/grupo/pancreatic-cancer-research-group/;W30041933;Malignant Progression / Metastasis mechanisms, Therapy Resistance mechanisms, Cancer Genomics, Signaling Pathways, Biomarkers (Liquid, Tissue);Organoids;Drug screens;Genomics, Genetics, Liquid biopsies;DNA sequencing, RNA-seq
Epithelial Carcinogenesis Group;CNIO;Madrid;Madrid;40.47613,-3.69403;https://alipanc.org/grupo/carcinogenesis-epitelial/;W465936079;Tumor Initiation mechanisms & Precursor lesions, Malignant Progression / Metastasis mechanisms, Tumor Immunology & Microenvironment, Cancer Genomics, Cancer Cell Biology, Molecular and Genetic Epidemiology, Prevention, Diagnosis, Biomarkers (Liquid, Tissue);2D, Organoids, Organotypic/tissue slices, PDXs, GEMMs, Co-culture systems;shRNA/RNAi, CRISPR/cas9/BE, Genetic screens;Genomics, Genetics, Epigenomics, Transcriptomics, Metabolomics/metabolism, Signaling, Spatial (RNA-scope, MERFISH, multiplexed IF, IMC, Codex,...);DNA sequencing, Hi-C, ATAC-seq, RNA-seq, Methylation, Microbiome, Single-cell genomics, Single-cell RNA-seq, Spatial
Hormonas y Cancer;IMIBIC;Cordoba;Andalucía;37.8680278,-4.796101918284698;https://alipanc.org/grupo/hormonas-y-cancer/;W558044943;Therapy Resistance mechanisms, Cancer Cell Biology, Molecular Therapeutics (Chemo & Targeted Therapies), Cellular Immunotherapies & Cancer Vaccines;2D, PDXs;shRNA/RNAi;Genomics, Transcriptomics, Signaling;DNA sequencing, RNA-seq, Single-cell RNA-seq
Metabolism and Cell Signaling Lab;CNIO;Madrid;Madrid;40.47613,-3.69403;https://alipanc.org/grupo/laboratorio-metabolismo-senalizacion-celular/;W465936079;Tumor Initiation mechanisms & Precursor lesions, Tumor Immunology & Microenvironment, Cancer Cell Biology, Signaling Pathways;GEMMs;None;Transcriptomics, Proteomics, Metabolomics/metabolism, Signaling;RNA-seq
Epigenómica del Cáncer;Instituto de Investigación Sanitaria de Santiago (IDIS);Santiago de Compostela;Galicia;42.8700961,-8.5653612;https://alipanc.org/grupo/epigenomica-del-cancer/;N10055956682;Therapy Resistance mechanisms, Epigenetics, Diagnosis, Early Detection, Biomarkers (Liquid, Tissue);Cell cultures;None;Genomics, Epigenomics, Liquid biopsies, DNA methylation: NGS, EPIC arrays, pyrosequencing, droplet digital PCR;Methylation, Single-cell epigenomics
INMUNOLOGÍA;CINBIO- UNIVERSIDAD DE VIGO;Vigo;Galicia;42.1667199,-8.6841165;https://alipanc.org/grupo/inmunologia-in1/;N4199278490;Therapy Resistance mechanisms, Tumor Immunology & Microenvironment, Epigenetics, Cancer Cell Biology, Signaling Pathways, Tumour Evolution (Plasticity, Heterogeneity), Molecular Therapeutics (Chemo & Targeted Therapies), Cellular Immunotherapies & Cancer Vaccines;2D, Organoids, PDXs, GEMMs, Co-culture systems;shRNA/RNAi, Drug screens;Genomics, Transcriptomics, Proteomics, Signaling;RNA-seq
Metabolism and Cancer Stem Cells;IIS Aragón;Zaragoza;Aragón;41.64327125,-0.9034193767738858;https://alipanc.org/grupo/metabolismo-y-celulas-madre-tumorales/;W24582429;Malignant Progression / Metastasis mechanisms, Therapy Resistance mechanisms, Molecular Therapeutics (Chemo & Targeted Therapies);2D, Organoids, PDXs, Co-culture systems;shRNA/RNAi;Metabolomics/metabolism, Signaling, Liquid biopsies;None
Nutrition Precision and Cancer Lab;IMDEA Alimentación;Madrid;Madrid;40.539502999999996,-3.6931309022918453;https://www.food.imdea.org/sites/default/files/Precision%20Nut%20Lab.pdf;W295643113;Cancer Genomics, Epigenetics, Molecular and Genetic Epidemiology, Prevention, Biomarkers (Liquid, Tissue), Patient Care & Survivorship;2D, Organoids, Co-culture systems;Genetic screens;Genomics, Genetics, Epigenomics, Transcriptomics, Metabolomics/metabolism, Nutrigenomics microbiome, Liquid biopsies;RNA-seq, Methylation, Microbiome, Single-cell RNA-seq, Spatial
Julie Earl;Instituto Ramón y Cajal de Investigación Sanitaria (IRYCIS);Madrid;Madrid;40.48732805,-3.6938660704038133;https://alipanc.org/grupo/biomarcadores-y-abordaje-personalizado/;W394889262;Cancer Genomics, Molecular and Genetic Epidemiology, Diagnosis, Early Detection, Radiotherapeutics / Radiation Oncology;Organoids, PDXs, GEMMs, Zebrafish;Drug screens;Genomics, Genetics, Radiomics, Liquid biopsies;DNA sequencing
Bioquímica del Cáncer;Universidad de Girona;Girona;Cataluña;41.9852758,2.828168945122764;https://alipanc.org/grupo/bioquimica-del-cancer/;relation 1011460;Malignant Progression / Metastasis mechanisms, Tumor Immunology & Microenvironment, Tumour Evolution (Plasticity, Heterogeneity), Diagnosis, Early Detection, Biomarkers (Liquid, Tissue), Molecular Therapeutics (Chemo & Targeted Therapies), Cellular Immunotherapies & Cancer Vaccines;2D, Organoids;shRNA/RNAi;Proteomics, Glycomics/Glycoproteomics;None
Molecular Interactions and Clinical Diagnosis;Universidad de Zaragoza - Instituto de Investigación Sanitaria de Aragón (IIS Aragón);Zaragoza;Aragón;41.64327125,-0.9034193767738858;https://alipanc.org/en/grupo/clinical-diagnostics-and-molecular-interactions-bifi-unizar/;W24582429;Epigenetics, Diagnosis, Early Detection, Biomarkers (Liquid, Tissue), Molecular Therapeutics (Chemo & Targeted Therapies);2D, Organoids, Galleria Melonella;Drug screens;Proteomics, Liquid biopsies;Bioinformatics for advanced data analysis based on artificial intelligence
Oncología Traslacional ;Instituto de Investigación Hospital Universitario La Paz (IdiPAZ);Madrid;Madrid;40.482397000000006,-3.688373868494865;https://alipanc.org/grupo/oncologia-medica-traslacional-y-terapia-individualizada-del-cancer-andres-munoz/;W829769833;Tumor Initiation mechanisms & Precursor lesions, Malignant Progression / Metastasis mechanisms, Therapy Resistance mechanisms, Tumor Immunology & Microenvironment, Cancer Genomics, Epigenetics, Cancer Cell Biology, Signaling Pathways, Diagnosis, Biomarkers (Liquid, Tissue), Molecular Therapeutics (Chemo & Targeted Therapies);2D, Organoids, Organotypic/tissue slices, Co-culture systems;Genetic screens, Drug screens;Genetics, Transcriptomics, Proteomics, Metabolomics/metabolism, Signaling, Spatial (RNA-scope, MERFISH, multiplexed IF, IMC, Codex,...), Liquid biopsies;DNA sequencing, RNA-seq, Microbiome, Spatial
Digestive Diseases and Microbiota;Institut d'Investigació Biomèdica de Girona (IDIBGI);Girona;Cataluña;41.9712854,2.794722120388349;https://alipanc.org/grupo/enfermedades-digestivas-y-microbiota/;W103212591;Tumor Initiation mechanisms & Precursor lesions, Tumor Immunology & Microenvironment, Cancer Genomics, Molecular and Genetic Epidemiology, Early Detection, Biomarkers (Liquid, Tissue);;None;Genomics, Transcriptomics, Proteomics, Metabolomics/metabolism, Nutrigenomics microbiome, Liquid biopsies;DNA sequencing, RNA-seq, Microbiome
Epidemiología y detección de biomarcadores moleculares en cáncer;Universidad de Barcelona - Instituto Catalán de Oncología;Barcelona;Cataluña;41.3452787,2.1112991909109686;https://alipanc.org/grupo/epidemiologia-deteccion-biomarcadores-moleculares-cancer/;W785933079;Tumor Immunology & Microenvironment, Cancer Genomics, Epigenetics, Molecular and Genetic Epidemiology, Prevention, Diagnosis, Early Detection, Biomarkers (Liquid, Tissue), Phamacogenomics, Patient Care & Survivorship;;None;Radiomics;DNA sequencing, RNA-seq, Methylation, Microbiome
Inflammation, Tissue Plasticity & Cancer;IRB Barcelona;Barcelona;Cataluña;41.382036049999996,2.117888891370257;https://alipanc.org/en/grupo/inflammation-tissue-plasticity-and-cancer/;W770232479;Tumor Initiation mechanisms & Precursor lesions, Malignant Progression / Metastasis mechanisms, Therapy Resistance mechanisms, Tumor Immunology & Microenvironment, Epigenetics, Cancer Cell Biology, Tumour Evolution (Plasticity, Heterogeneity);2D, Organoids, GEMMs, Co-culture systems;shRNA/RNAi, CRISPR/cas9/BE, Drug screens;Epigenomics, Transcriptomics, Proteomics, Spatial (RNA-scope, MERFISH, multiplexed IF, IMC, Codex,...), Liquid biopsies;Hi-C, ATAC-seq, RNA-seq, Single-cell epigenomics, Single-cell RNA-seq
Cancer Genome Engineering Lab;VHIO;Barcelona;Cataluña;41.42872815,2.1374944310612287;https://alipanc.org/en/grupo/cancer-genome-engineering-laboratory/;W625069477;Malignant Progression / Metastasis mechanisms, Therapy Resistance mechanisms, Tumor Immunology & Microenvironment, Cancer Genomics, Tumour Evolution (Plasticity, Heterogeneity);2D, GEMMs, Co-culture systems;CRISPR/cas9/BE, Genetic screens, Genome Engineering;Genomics, Genetics, Transcriptomics;None
PANCGATE;HU PUERTA DE HIERRO MAJADAHONDA;Madrid;Madrid;40.45028585,-3.8736999198822497;https://alipanc.org/en/grupo/pancgate/;W1014019197;Patient Care & Survivorship;;None;Liquid biopsies;None
Andrés J. Muñoz Martín;Hospital General Universitario Gregorio Marañón ;Madrid;Madrid;40.419688449999995,-3.6711262290170836;https://alipanc.org/grupo/pancgate/;W262480721;Molecular and Genetic Epidemiology, Biomarkers (Liquid, Tissue), Molecular Therapeutics (Chemo & Targeted Therapies), Cellular Immunotherapies & Cancer Vaccines, Phamacogenomics, Patient Care & Survivorship;;None;Genomics, Genetics, Epigenomics, Transcriptomics, Proteomics, Metabolomics/metabolism, Radiomics, Liquid biopsies;None
Hospital Infanta Sofia;Hospital Infanta Sofia;Madrid;Madrid;40.557951849999995,-3.6105713117352187;https://alipanc.org/grupo/laboratorio-oncologia-precision/;W394889267;Malignant Progression / Metastasis mechanisms, Therapy Resistance mechanisms, Tumor Immunology & Microenvironment, Cancer Genomics, Epigenetics, Tumour Evolution (Plasticity, Heterogeneity), Biomarkers (Liquid, Tissue), Molecular Therapeutics (Chemo & Targeted Therapies), Patient Care & Survivorship;;Genetic screens, Drug screens;Genetics, Metabolomics/metabolism, Nutrigenomics microbiome;DNA sequencing, Microbiome
Unidad de epidemiología de la Nutrición;Universidad Miguel Hernández (UMH);Alicante;Comunitat Valenciana;38.3885382,-0.4366074270761147;https://alipanc.org/grupo/unidad-epidemiologia-nutricion/;W20282038;Prevention;;None;None;None
Grupo de Investigación Traslacional en Enfermedades del Aparato Digestivo (GITEAD);Instituto de Investigación Sanitaria. Lab. 12. Planta -2. Complejo Hospitalario Universitario de Santiago de Compostela;Santiago de Compostela;Galicia;42.8700961,-8.5653612;https://alipanc.org/grupo/grupo-investigacion-traslacional-enfermedades-aparato-digestivo/;N10055956682;Tumor Initiation mechanisms & Precursor lesions, Tumor Immunology & Microenvironment, Cancer Cell Biology, Signaling Pathways, Prevention, Early Detection, Biomarkers (Liquid, Tissue), Patient Care & Survivorship;;None;None;None
Oncología Personalizada (A13);ibs-Granada;Granada;Andalucía;37.18762305,-3.6053925944066654;https://alipanc.org/grupo/oncologia-personalizada-a13-pedro-jose-real-luna/;W1122753827;Tumor Initiation mechanisms & Precursor lesions, Malignant Progression / Metastasis mechanisms, Cancer Cell Biology, Signaling Pathways, Tumour Evolution (Plasticity, Heterogeneity), Diagnosis, Early Detection, Biomarkers (Liquid, Tissue), Molecular Therapeutics (Chemo & Targeted Therapies);Zebrafish, Co-culture systems;CRISPR/cas9/BE;Transcriptomics, Proteomics, Liquid biopsies;Proteomics
Páncreas regeneration;IDIBELL/UB;Barcelona;Cataluña;41.34536095,2.104785907668183;https://alipanc.org/en/grupo/pancreas-regeneration/;W248055112;Tumor Initiation mechanisms & Precursor lesions, Tumor Immunology & Microenvironment, Epigenetics, Cancer Cell Biology, Signaling Pathways, Tumour Evolution (Plasticity, Heterogeneity), Early Detection, Biomarkers (Liquid, Tissue), Radiotherapeutics / Radiation Oncology;2D, Organoids, GEMMs, Zebrafish, Co-culture systems;Drug screens;Genomics, Epigenomics, Transcriptomics, Spatial (RNA-scope, MERFISH, multiplexed IF, IMC, Codex,...);Single-cell epigenomics, Single-cell RNA-seq
Gruo de Investigación en Cáncer de Páncreas IDIBAPS-Clinic Barcelona;IDIBAPS-Hospital Clinic Barcelona;Barcelona;Cataluña;41.3885771,2.1509086;https://alipanc.org/en/grupo/pancreatic-cancer-research-group-idibaps-clinic/;node 4471571165;Tumor Initiation mechanisms & Precursor lesions, Malignant Progression / Metastasis mechanisms, Therapy Resistance mechanisms, Tumor Immunology & Microenvironment, Signaling Pathways, Diagnosis, Early Detection, Biomarkers (Liquid, Tissue), Molecular Therapeutics (Chemo & Targeted Therapies), Cellular Immunotherapies & Cancer Vaccines, Patient Care & Survivorship;2D, Organoids, PDXs, GEMMs, Co-culture systems;shRNA/RNAi, CRISPR/cas9/BE;Transcriptomics, Proteomics, Signaling, Liquid biopsies;RNA-seq, Single-cell RNA-seq, Spatial
Investigación Páncreas Exocrino;Instituto de Investigación Biomédica de Lleida + VHIR (IRBLleida), Hospital Arnau de Vilanova,;Lleida;Cataluña;41.6268968,0.6128942241724484;https://alipanc.org/grupo/investigacion-pancreas-exocrino/;W416561068;Tumor Initiation mechanisms & Precursor lesions, Malignant Progression / Metastasis mechanisms, Therapy Resistance mechanisms, Tumor Immunology & Microenvironment, Cancer Genomics, Cancer Cell Biology, Signaling Pathways, Prevention, Diagnosis, Early Detection, Biomarkers (Liquid, Tissue);2D, Organotypic/tissue slices;None;Transcriptomics, Radiomics;None
Cáncer de pancreas - Pilar Navarro y Fernando Burdío;Instituto de Investigaciones Biomédicas de Barcelona (IIBB-CSIC) / Unidad Asociada Hospital del Mar Research Institute· Barcelona ·;Barcelona;Cataluña;41.3903943,2.1532788;https://alipanc.org/grupo/dianas-moleculares-del-cancer/;node 12156343830;Tumor Immunology & Microenvironment, Cancer Cell Biology, Diagnosis, Biomarkers (Liquid, Tissue), Molecular Therapeutics (Chemo & Targeted Therapies);2D, Organoids, GEMMs, Co-culture systems;shRNA/RNAi, CRISPR/cas9/BE;Transcriptomics, Proteomics, Metabolomics/metabolism, Signaling;RNA-seq
Tumor-Stroma Communication;CIPF ;Valencia;Comunitat Valenciana;39.4523348,-0.3443939595693052;https://alipanc.org/en/grupo/tumor-stroma-communication/;W75078081;Malignant Progression / Metastasis mechanisms, Therapy Resistance mechanisms, Tumor Immunology & Microenvironment, Signaling Pathways, Tumour Evolution (Plasticity, Heterogeneity);2D, Organoids, Co-culture systems, Models for cachexia;shRNA/RNAi;None;None
PANCCUN;Cancer Center Clinica Universidad de Navarra;Pamplona;Comunidad Foral de Navarra;42.8058167,-1.6642959885309305;https://alipanc.org/en/grupo/pancreatic-cancer-panccun/;W507549064;Tumor Initiation mechanisms & Precursor lesions, Malignant Progression / Metastasis mechanisms, Therapy Resistance mechanisms, Tumor Immunology & Microenvironment, Epigenetics, Cancer Cell Biology, Signaling Pathways, Tumour Evolution (Plasticity, Heterogeneity), Biomarkers (Liquid, Tissue), Molecular Therapeutics (Chemo & Targeted Therapies), Radiotherapeutics / Radiation Oncology, Cellular Immunotherapies & Cancer Vaccines;2D, Organoids, GEMMs, Co-culture systems;shRNA/RNAi, CRISPR/cas9/BE, Genetic screens, Drug screens;Genomics, Transcriptomics, Signaling, Liquid biopsies;DNA sequencing, Hi-C, ATAC-seq, RNA-seq
Unidad de Investigación Traslacional;Hospital General Universitario de Ciudad Real;Ciudad Real;Castilla-La Mancha;38.97002620000001,-3.931547046696858;https://alipanc.org/grupo/hgucr/;W263367113;Malignant Progression / Metastasis mechanisms, Therapy Resistance mechanisms, Molecular Therapeutics (Chemo & Targeted Therapies);2D, Organoids, Organotypic/tissue slices, PDXs;Drug screens;Signaling, Liquid biopsies;None
Dr Angela Lamarca;Hospital Universitario Fundacion Jimenez Diaz;Madrid;Madrid;40.43883655,-3.719280167652232;https://alipanc.org/grupo/lamarca-martinez-useros/;W394889273;Biomarkers (Liquid, Tissue), Molecular Therapeutics (Chemo & Targeted Therapies);PDXs;Drug screens;Genomics, Liquid biopsies;None
Grupo Oncologia Molecular UFV-H12O;Universidad Francisco de Vitoria/Hospital 12 de octubre;Madrid;Madrid;40.376385,-3.6980552193727467;https://alipanc.org/en/grupo/molecular-oncology/;W27888617;Tumor Immunology & Microenvironment, Epigenetics, Cancer Cell Biology, Molecular Therapeutics (Chemo & Targeted Therapies);2D;shRNA/RNAi, CRISPR/cas9/BE;None;RNA-seq, Single-cell RNA-seq, ChIP-seq
Nuevas Terapias en Cáncer;Instituto Maimónides de Investigación Biomédica de Córdoba;Córdoba;Andalucía;37.86840305,-4.797182952409715;https://alipanc.org/grupo/hormonas-y-cancer/;W96949581;Malignant Progression / Metastasis mechanisms, Cancer Genomics, Epigenetics, Biomarkers (Liquid, Tissue);;None;Genomics, Epigenomics, Liquid biopsies;DNA sequencing, RNA-seq, Methylation
Corbo Lab;University of Verona;Verona;foraneo;45.43633945,11.003030121451761;https://i-pcc.org/2021/02/08/vincenzo-corbo/;W23936318;Cancer Genomics, Cancer Cell Biology, Tumour Evolution (Plasticity, Heterogeneity);2D, Organoids, GEMMs, Co-culture systems;shRNA/RNAi;Genomics, Transcriptomics, Signaling, Spatial (RNA-scope, MERFISH, multiplexed IF, IMC, Codex,...);DNA sequencing, RNA-seq, Single-cell RNA-seq, Spatial
Microenvironment and Metastasis;CNIO;Madrid;Madrid;40.47613,-3.69403;https://alipanc.org/en/grupo/microenvironment-and-metastasis/;W465936079;Malignant Progression / Metastasis mechanisms, Tumor Immunology & Microenvironment, Diagnosis, Early Detection, Biomarkers (Liquid, Tissue);2D, Organotypic/tissue slices, Extracellular vesicles, Microproteins;None;Proteomics, Liquid biopsies;None, Microprotein analysis 
Computational Cancer Genomics;Botton-Champalimaud Pancreatic Cancer Centre;Lisboa;foraneo;38.69518615,-9.223395750322787;https://alipanc.org/en/grupo/cancer-genome-engineering-laboratory/;W942523940;Tumor Initiation mechanisms & Precursor lesions, Malignant Progression / Metastasis mechanisms, Therapy Resistance mechanisms, Cancer Genomics, Cancer Cell Biology, Tumour Evolution (Plasticity, Heterogeneity);Organoids;None;Genomics, Genetics, Epigenomics, Transcriptomics, Spatial (RNA-scope, MERFISH, multiplexed IF, IMC, Codex,...);DNA sequencing, Hi-C, ATAC-seq, RNA-seq, Methylation, Single-cell genomics, Single-cell epigenomics, Single-cell RNA-seq, Spatial
Grupo de Angiogénesis. Área de Oncología;Centro de Investigación Biomédica de La Rioja (CIBIR);Logroño;La Rioja;42.4511593,-2.426990996555385;https://alipanc.org/grupo/grupo-de-angiogenesis-alfredo-martinez-ramirez/;W1172870559;Cancer Cell Biology, Early Detection, Biomarkers (Liquid, Tissue);Biología Celular y Molecular;shRNA/RNAi;Transcriptomics, Volatolomics;DNA sequencing, RNA-seq, Microbiome
Ablative therapies in oncology surgery;Hospital del Mar Research Institute;Barcelona;Cataluña;41.38512085,2.193990726318065;https://alipanc.org/en/grupo/molecular-targets-of-cancer/;W74068875;Tumor Initiation mechanisms & Precursor lesions, Malignant Progression / Metastasis mechanisms, Patient Care & Survivorship;Bench studies in Ablation;shRNA/RNAi;Genomics, Transcriptomics, Spatial (RNA-scope, MERFISH, multiplexed IF, IMC, Codex,...);DNA sequencing, Single-cell RNA-seq