groupName;centre;ciudad;latlong;link;OSM
Epidemiologia Genética y Molecular;Centro Nacional de Investigaciones Oncológicas (CNIO);Madrid;40.47613,-3.69403;https://alipanc.org/en/grupo/genetic-and-molecular-epidemiology/;W465936079
Grupo de investigación en cáncer de páncreas INCLIVA;Hospital Clínico Universitario de Valencia.Instituto de Investigación Sanitaria INCLIVA. Universidad de Valencia;Valencia;39.478755,-0.3588256;https://alipanc.org/en/grupo/pancreatic-cancer-research-group/;W30041933
Epithelial Carcinogenesis Group;CNIO;Madrid;40.47613,-3.69403;https://alipanc.org/grupo/carcinogenesis-epitelial/;W465936079
Hormonas y Cancer;IMIBIC;Cordoba;37.8680278,-4.796101918284698;https://alipanc.org/grupo/hormonas-y-cancer/;W558044943
Metabolism and Cell Signaling Lab;CNIO;Madrid;40.47613,-3.69403;https://alipanc.org/grupo/laboratorio-metabolismo-senalizacion-celular/;W465936079
Epigenómica del Cáncer;Instituto de Investigación Sanitaria de Santiago (IDIS);Santiago de Compostela;42.8700961,-8.5653612;https://alipanc.org/grupo/epigenomica-del-cancer/;N10055956682
INMUNOLOGÍA;CINBIO- UNIVERSIDAD DE VIGO;Vigo;42.1667199,-8.6841165;https://alipanc.org/grupo/inmunologia-in1/;N4199278490
Metabolism and Cancer Stem Cells;IIS Aragón;Zaragoza;41.64327125,-0.9034193767738858;https://alipanc.org/grupo/metabolismo-y-celulas-madre-tumorales/;W24582429
Nutrition Precision and Cancer Lab;IMDEA Alimentación;Madrid;40.539502999999996,-3.6931309022918453;https://www.food.imdea.org/sites/default/files/Precision%20Nut%20Lab.pdf;W295643113
Julie Earl;Instituto Ramón y Cajal de Investigación Sanitaria (IRYCIS);Madrid;40.48732805,-3.6938660704038133;https://alipanc.org/grupo/biomarcadores-y-abordaje-personalizado/;W394889262
Bioquímica del Cáncer;Universidad de Girona;Girona;41.9852758,2.828168945122764;https://alipanc.org/grupo/bioquimica-del-cancer/;relation 1011460
Molecular Interactions and Clinical Diagnosis;Universidad de Zaragoza - Instituto de Investigación Sanitaria de Aragón (IIS Aragón);Zaragoza;41.64327125,-0.9034193767738858;https://alipanc.org/en/grupo/clinical-diagnostics-and-molecular-interactions-bifi-unizar/;W24582429
Oncología Traslacional ;Instituto de Investigación Hospital Universitario La Paz (IdiPAZ);Madrid;40.482397000000006,-3.688373868494865;https://alipanc.org/grupo/oncologia-medica-traslacional-y-terapia-individualizada-del-cancer-andres-munoz/;W829769833
Digestive Diseases and Microbiota;Institut d'Investigació Biomèdica de Girona (IDIBGI);Girona;41.9712854,2.794722120388349;https://alipanc.org/grupo/enfermedades-digestivas-y-microbiota/;W103212591
Epidemiología y detección de biomarcadores moleculares en cáncer;Universidad de Barcelona - Instituto Catalán de Oncología;Barcelona;41.3452787,2.1112991909109686;https://alipanc.org/grupo/epidemiologia-deteccion-biomarcadores-moleculares-cancer/;W785933079
Inflammation, Tissue Plasticity & Cancer;IRB Barcelona;Barcelona;41.382036049999996,2.117888891370257;https://alipanc.org/en/grupo/inflammation-tissue-plasticity-and-cancer/;W770232479
Cancer Genome Engineering Lab;VHIO;Barcelona;41.42872815,2.1374944310612287;https://alipanc.org/en/grupo/cancer-genome-engineering-laboratory/;W625069477
PANCGATE;HU PUERTA DE HIERRO MAJADAHONDA;Madrid;40.45028585,-3.8736999198822497;https://alipanc.org/en/grupo/pancgate/;W1014019197
Andrés J. Muñoz Martín;Hospital General Universitario Gregorio Marañón ;Madrid;40.419688449999995,-3.6711262290170836;https://alipanc.org/grupo/pancgate/;W262480721
Hospital Infanta Sofia;Hospital Infanta Sofia;Madrid;40.557951849999995,-3.6105713117352187;https://alipanc.org/grupo/laboratorio-oncologia-precision/;W394889267
Unidad de epidemiología de la Nutrición;Universidad Miguel Hernández (UMH);Alicante;38.3885382,-0.4366074270761147;https://alipanc.org/grupo/unidad-epidemiologia-nutricion/;W20282038
Grupo de Investigación Traslacional en Enfermedades del Aparato Digestivo (GITEAD);Instituto de Investigación Sanitaria. Lab. 12. Planta -2. Complejo Hospitalario Universitario de Santiago de Compostela;Santiago de Compostela;42.8700961,-8.5653612;https://alipanc.org/grupo/grupo-investigacion-traslacional-enfermedades-aparato-digestivo/;N10055956682
Oncología Personalizada (A13);ibs-Granada;Granada;37.18762305,-3.6053925944066654;https://alipanc.org/grupo/oncologia-personalizada-a13-pedro-jose-real-luna/;W1122753827
Páncreas regeneration;IDIBELL/UB;Barcelona;41.34536095,2.104785907668183;https://alipanc.org/en/grupo/pancreas-regeneration/;W248055112
Gruo de Investigación en Cáncer de Páncreas IDIBAPS-Clinic Barcelona;IDIBAPS-Hospital Clinic Barcelona;Barcelona;41.3885771,2.1509086;https://alipanc.org/en/grupo/pancreatic-cancer-research-group-idibaps-clinic/;node 4471571165
Investigación Páncreas Exocrino;Instituto de Investigación Biomédica de Lleida + VHIR (IRBLleida), Hospital Arnau de Vilanova,;Lleida;41.6268968,0.6128942241724484;https://alipanc.org/grupo/investigacion-pancreas-exocrino/;W416561068
Cáncer de pancreas - Pilar Navarro y Fernando Burdío;Instituto de Investigaciones Biomédicas de Barcelona (IIBB-CSIC) / Unidad Asociada Hospital del Mar Research Institute· Barcelona ·;Barcelona;41.3903943,2.1532788;https://alipanc.org/grupo/dianas-moleculares-del-cancer/;node 12156343830
Tumor-Stroma Communication;CIPF ;Valencia;39.4523348,-0.3443939595693052;https://alipanc.org/en/grupo/tumor-stroma-communication/;W75078081
PANCCUN;Cancer Center Clinica Universidad de Navarra;Pamplona;42.8058167,-1.6642959885309305;https://alipanc.org/en/grupo/pancreatic-cancer-panccun/;W507549064
Unidad de Investigación Traslacional;Hospital General Universitario de Ciudad Real;Ciudad Real;38.97002620000001,-3.931547046696858;https://alipanc.org/grupo/hgucr/;W263367113
Dr Angela Lamarca;Hospital Universitario Fundacion Jimenez Diaz;Madrid;40.43883655,-3.719280167652232;https://alipanc.org/grupo/lamarca-martinez-useros/;W394889273
Grupo Oncologia Molecular UFV-H12O;Universidad Francisco de Vitoria/Hospital 12 de octubre;Madrid;40.376385,-3.6980552193727467;https://alipanc.org/en/grupo/molecular-oncology/;W27888617
Nuevas Terapias en Cáncer;Instituto Maimónides de Investigación Biomédica de Córdoba;Córdoba;37.86840305,-4.797182952409715;https://alipanc.org/grupo/hormonas-y-cancer/;W96949581
Corbo Lab;University of Verona;Verona;45.43633945,11.003030121451761;https://i-pcc.org/2021/02/08/vincenzo-corbo/;W23936318
Microenvironment and Metastasis;CNIO;Madrid;40.47613,-3.69403;https://alipanc.org/en/grupo/microenvironment-and-metastasis/;W465936079
Computational Cancer Genomics;Botton-Champalimaud Pancreatic Cancer Centre;Lisboa;38.69518615,-9.223395750322787;https://alipanc.org/en/grupo/cancer-genome-engineering-laboratory/;W942523940
Grupo de Angiogénesis. Área de Oncología;Centro de Investigación Biomédica de La Rioja (CIBIR);Logroño;42.4511593,-2.426990996555385;https://alipanc.org/grupo/grupo-de-angiogenesis-alfredo-martinez-ramirez/;W1172870559
Ablative therapies in oncology surgery;Hospital del Mar Research Institute;Barcelona;41.38512085,2.193990726318065;https://alipanc.org/en/grupo/molecular-targets-of-cancer/;W74068875